,Deslocamento Vertical,Deslocamento Horizontal,Deslocamento Antero-Posterior,Deslocamento Tridimensional,velocidade média do salto,velocidade pico do salto,aceleração,força pico vertical normalizada,força pico horizontal normalizada,força pico antero-posterior normalizada,força pico tridimensional normalizada,impulso vertical normalizado,impulso horizontal normalizado,impulso antero-posterior normalizado,impulso tridimensional normalizado
rae1,0.40793741792098825,1.3174406422287719,0.23689138492719664,1.3993499601561175,3.0586884374997103,3.671810124415831,4.801377410500879,1.532146074770923,0.5668222057113853,0.4175866475012131,1.6792528038861654,2.1192818311259276,0.45689208768156053,0.13104983532815148,2.203529316245645
2,0.41264409553463555,1.1895201754964368,0.2860662484195754,1.2911496024773896,3.074165720184261,3.658794026495965,4.827501270814862,1.9950373844432068,0.5567406979626522,0.14434507424422185,2.0385641224310107,2.789096823072061,0.5643585195879415,0.15416458963787472,2.8723338699369956
3,0.42628480787472867,1.4637720544575985,0.28252715412858764,1.550538279971124,2.8320333880751125,3.657760838761114,3.829340925254016,1.7519811395717604,0.510095094567171,0.1558522739201379,1.8145369156681832,2.565139376133947,0.5852842582798686,0.11621309296407263,2.653017828487259
4,0.3982695067930414,1.1718802844191578,0.22723134722262378,1.258394249117544,2.909582078884495,3.7950388941736213,6.257287318222099,1.7968658451560235,0.533874159573916,0.16247257698574288,1.850664020995718,2.838237189343438,0.571907359820317,0.18824103723234453,2.9246882541094417
5,,,,,,,,,,,,,,,
média,0.4112839570308484,1.2856532891504913,0.25817903367449585,1.3748580229305438,2.9686174061608943,3.695850970961633,4.928876731197963,1.7690076109854784,0.5418830394537811,0.22006414316282893,1.8457544657452694,2.5779388049188436,0.544610556342422,0.14741713879061086,2.6633923171948357
desvio-padrão,0.01009270456562568,0.11717785895453009,0.02636973170984548,0.11405515986621716,0.10172708727608143,0.05753321153457953,0.8660523565317398,0.16451354637777874,0.02189364991861183,0.11422397927359418,0.12835206102619606,0.28410957505447776,0.05119564753462934,0.027173975948939454,0.2843913451427125
rne1,0.494667408493339,1.3020696064120778,0.38910891783715507,1.4461973775761112,3.1101018872604542,3.7303623141412237,3.721636954381573,2.046012940517998,0.5365013127353212,0.09989809744448744,2.0651301362281265,3.4086043947352707,0.47561872260024507,0.2115988202820256,3.469937583707983
2,0.5016019345578452,1.2391371456651674,0.4306997524876835,1.4044812719692432,3.156137689818524,3.871932910680609,4.349531821625844,2.1538860852205213,0.4404815072641678,0.11155569578920346,2.167687315887751,3.305746315223874,0.40897791566096775,0.05586848829061409,3.353879127298123
3,0.38854155983792193,1.2466400490814797,0.29835502414376064,1.339437074343914,3.286962145629236,3.9005801785245175,5.050188891292483,2.1537032273815595,0.6785321451840267,0.25912002202910656,2.2274466129838824,3.1008299068594107,0.5727570365708377,0.2810699105485402,3.201907195281519
4,0.3755899561024063,1.1805075977029975,0.3664742751775017,1.2918859848014395,3.057718307222342,3.6201597293773875,4.54797729977032,1.9531158641910242,0.6257524347641022,0.13993139203906185,1.990831428002275,3.184805048095158,0.5522886374748108,0.14904803487311882,3.2670057116970197
5,0.4036596071748325,1.2656269116824155,0.2452690989919687,1.350892108556283,3.2948588013567877,4.02076992742663,5.958349784710714,1.9728849901710894,0.6402656520521834,0.04807858075031246,2.0127332757931558,3.2184579042017667,0.5973087574367841,0.2610658524888976,3.3164620345894615
média,0.43281209323326897,1.2467962621088275,0.34598141372761393,1.3665787634493982,3.1811557662574694,3.8287610120300735,4.725536950356187,2.0559206214964383,0.5843066103999602,0.13171675761043436,2.0927657537790383,3.243688713823096,0.5213902139487292,0.19173022129663925,3.321838330514821
desvio-padrão,0.054115141769567866,0.03965503612341094,0.06613377235209454,0.05354900088506371,0.09490493587673418,0.1393456335673119,0.7491260048307594,0.08569780211061945,0.08567219955391359,0.07030407126238229,0.09089742126871266,0.10541427443485903,0.06940957068681086,0.08180947449701631,0.08986545420518961
rad1,0.36192641472627807,1.1563780580360907,0.14337818486055492,1.220146813575254,3.1487659705167843,3.8268446000295246,5.6428838130379,2.0500038730064913,0.6070644483305576,0.11678173067955314,2.1070274843467462,2.4681041192956745,0.576704973834289,0.06444221671288927,2.54792449770587
2,0.32982473492330455,1.2172172224498041,0.09929441416256596,1.2650144280123967,3.1625360700309915,3.727832747041977,4.480852352516745,1.8566596936467405,0.5195976699867149,0.05271538740153217,1.891836572334196,2.637227897654838,0.6725425698951424,0.06595622258980541,2.734866231127811
3,0.362208232464733,1.1405030220265038,0.13247374885306468,1.2039481886908585,3.0479700979515405,3.633568466176269,4.937319597579317,1.9137305253573205,0.5231439918605296,0.10506407981699756,1.953622275494967,2.7029314600073495,0.6558659645211773,0.021846276616818816,2.7937400148259277
4,0.42883626893499016,1.3832785890755739,0.18883454144244366,1.460485770074728,2.9064393434322944,3.627344185488069,4.063352502252206,1.78040197419184,0.5113204201354117,0.09880180900260563,1.8368255207750046,2.536964893756241,0.5731194487257341,0.028266598717151873,2.620451533477376
5,0.37444668917487633,1.1277933794165111,0.15269732461488722,1.198100455986177,2.8025741660495367,3.495281601549453,4.278352367226477,1.814688176058534,0.4540792175891436,0.06714566390783178,1.8469692952386103,2.661283865356029,0.5719681393878588,0.008502670542651091,2.7327332512515
média,0.37144846804483644,1.2050340542008968,0.14333564278670327,1.269539131267883,3.01365712959623,3.6621743200570585,4.68055212652253,1.883096848452185,0.5230411495804714,0.08810173416170405,1.927256229637905,2.6013024472140267,0.6100402192728402,0.03780279703586329,2.685943105677697
desvio-padrão,0.03228292314181705,0.094252136016857,0.029035851060076327,0.09831210396729295,0.1397486234399291,0.11073566975599691,0.561175878202121,0.09457408082399428,0.0489181079433664,0.024149970556962354,0.09888491235565035,0.0861370769160698,0.04456547523338577,0.02326508579793117,0.088928337130847
rnd1,0.4100111569750332,1.2819244325583177,0.26599128927216675,1.3719295774939178,3.451395163506711,3.8768465824767984,3.9960371118793465,2.3250078665033347,0.5143787739945509,0.1708473569102323,2.366889026418145,2.92800731353531,0.4855324145393889,0.2592938645094752,2.9955840727971252
2,0.34451672406853306,1.162317302020727,0.2903202308591635,1.2465789666867373,3.536394231735425,3.9949692888662436,4.911649235172136,2.3818869655210237,0.5542923317767243,0.06524604995863406,2.426060076432112,2.685559315034797,0.5443422640383386,0.28278517511983486,2.7684200456234915
3,0.34279155279793316,1.1366777123525433,0.29737122537444977,1.2239166295582928,3.353196245365186,3.9401207548055748,5.758478759002251,2.2006598935819377,0.6446399508899335,0.21513551677771361,2.252442862586928,3.041932623498027,0.7573009838586195,0.14883116105689098,3.1525759881759017
4,0.488532555423536,1.1301705760245917,0.36282329634868093,1.2835849535553658,3.1117210995281592,3.808137092363549,5.234397555883091,2.2822580305432543,0.4300958827726458,0.11159129874303939,2.2871952937917075,3.27971926523363,0.4169875856710917,0.03888530661620299,3.323998737713212
5,0.3323978886419223,1.1398088501590986,0.2730372601289499,1.2182782591400612,3.4317697440565107,3.948349418597067,5.490569556594916,2.3936723634493293,0.5863346678596636,0.30552793347709106,2.441772582557056,2.817135334223856,0.6394594457856094,0.16922662244291659,2.9109676279462082
média,0.3836499755813915,1.1701797746230558,0.2979086603966822,1.268857677286875,3.3768952968383985,3.913684627421847,5.078226443706348,2.316697023919776,0.5459483214587035,0.17366963117334208,2.3548719683571897,2.9504707703051243,0.5687245387786096,0.17980442594906415,3.030309294451188
desvio-padrão,0.05919943570809383,0.05691081488461589,0.03437757464047556,0.05641812746909749,0.14483117432668655,0.06481517797037437,0.6092686087127439,0.07056154954072562,0.07191542404824565,0.0833347335846794,0.07461330598918516,0.2025985520879359,0.11925102138229257,0.0870092372119962,0.19247695265281772
